순번,지사,계약종별,접수번호,업무구분,신청방법,접수자구분,이용 편리성,직원 친절도,전반적 만족,사회적 책임,처리 신속도,처리 정확도,업무 개선도,사용 추천도,종합 점수,서술 의견
173,경남본부,일반용(갑)저압,C550-20260115-000173,기타단순문의등,전화,충남고객센터,0,100,80,-,-,80,100,-,90.0,점심시간에도 운영되면 좋겠습니다.
174,진주지사,주택용전력,5740-20260115-000174,정전,사이버지점,한전ON,20,0,90,-,100,-,-,60,68.0,전기 관련 안전 점검도 꼼꼼히 해주셔서 좋았습니다.
175,통영지사,주택용전력,5750-20260115-000175,기타단순문의등,전화,직원,0,90,100,-,-,90,100,-,96.0,친절함
176,합천지사,주택용전력,5778-20260115-000176,사용자기본사항변경,전화,검침사,0,90,50,-,-,100,100,-,84.0,응답없음
177,진주지사,주택용전력,5740-20260115-000177,자동이체,전화,직원,0,30,100,-,-,100,20,-,62.0,세금계산서 발급이 빠르고 정확해서 좋았습니다.
178,남해지사,농사용(을)저압,C400-20260115-000178,자동이체,전화,강원고객센터,0,80,100,-,-,20,60,-,64.0,전반적으로 무난했습니다.
179,통영지사,주택용전력,C800-20260115-000179,자동이체,전화,부산고객센터,0,60,80,-,-,100,90,-,82.0,별다른 의견 없습니다.
180,통영지사,농사용(을)저압,5750-20260115-000180,신규/증설,전화,직원,0,90,90,-,-,100,90,-,92.0,없음
181,함양지사,일반용(갑)저압,C500-20260115-000181,기타단순문의등,기타,충북고객센터,70,90,100,-,90,100,100,-,92.0,전반적으로 무난했습니다.
182,밀양지사,주택용전력,C100-20260115-000182,사용자기본사항변경,전화,서울고객센터,0,60,90,-,-,80,90,-,80.0,직원은 친절했는데 시스템이 복잡한 것 같아요.
183,산청지사,주택용전력,C350-20260115-000183,사용자기본사항변경,전화,경기고객센터,0,10,100,-,70,100,100,-,76.0,빠른 처리 감사하지만 ARS 메뉴 개선이 필요해요.
184,합천지사,주택용전력,5778-20260115-000184,사용자기본사항변경,사이버지점,한전ON,100,0,90,-,70,-,-,90,88.0,빠른 처리 감사하지만 ARS 메뉴 개선이 필요해요.
185,진주지사,주택용전력,5740-20260115-000185,기타단순문의등,전화,한전ON,0,80,90,-,10,50,100,-,66.0,업무 처리가 깔끔하고 빨라서 좋았습니다.
186,거제지사,농사용(을)저압,C700-20260115-000186,사용자기본사항변경,전화,대구고객센터,0,80,70,-,-,100,20,-,68.0,응답없음
187,경남본부,주택용전력,7812-20260115-000187,기타단순문의등,전화녹취,직원,0,70,90,-,-,100,70,-,82.0,내방했는데 대기시간 없이 바로 처리해 주셨습니다.
188,거제지사,주택용전력,C350-20260115-000188,해지/재사용,전화,경기고객센터,0,100,70,-,20,90,100,-,76.0,어려운 상황에서 적극적으로 도와주셨습니다.
189,경남본부,일반용(갑)저압,7812-20260115-000189,기타단순문의등,기타,직원,70,100,100,-,90,30,100,-,82.0,고객 입장에서 생각해 주시는 게 느껴졌어요.
190,진주지사,주택용전력,5740-20260115-000190,사용자기본사항변경,전화,직원,0,100,100,-,70,100,90,-,92.0,응답없음
191,창녕지사,주택용전력,C800-20260115-000191,자동이체,전화,부산고객센터,0,90,30,-,-,90,100,-,78.0,정전이 자주 발생하는데 원인 파악을 제대로 해주셨으면 합니다.
192,함안의령지사,주택용전력,5730-20260115-000192,기타단순문의등,내방,직원,90,100,70,-,100,100,80,-,90.0,좋아요
193,마산지사,주택용전력,5690-20260115-000193,자동이체,전화,직원,0,100,100,-,-,90,90,-,96.0,응답없음
194,진주지사,일반용(갑)저압,5740-20260115-000194,정전,전화,직원,0,100,80,-,90,100,80,-,90.0,전기요금 관련 문의에 정확히 답변해 주셨어요.
195,진주지사,주택용전력,C300-20260115-000195,기타단순문의등,전화,경기북부고객센터,0,100,90,-,-,100,90,-,96.0,민원 접수 후 바로 연락 주셔서 좋았습니다.
196,진주지사,주택용전력,C100-20260115-000196,기타단순문의등,전화,서울고객센터,0,100,90,-,-,100,100,-,98.0,정전 복구가 빠르게 이루어져서 감사합니다.
197,통영지사,농사용(을)저압,C200-20260115-000197,청구서재발행,전화,인천고객센터,0,90,80,-,-,100,100,-,92.0,전기요금 관련 문의에 정확히 답변해 주셨어요.
198,진주지사,주택용전력,5740-20260115-000198,복지/대가족/수가구등,전화,직원,0,30,90,-,80,90,100,-,78.0,어려운 상황에서 적극적으로 도와주셨습니다.
199,진주지사,주택용전력,C800-20260115-000199,기타단순문의등,전화,부산고객센터,0,100,40,-,100,70,90,-,80.0,요금 고지서가 너무 늦게 와서 납부일을 놓칠 뻔했습니다.
200,합천지사,일반용(갑)저압,C800-20260115-000200,사용자기본사항변경,전화,부산고객센터,0,100,90,-,-,40,90,-,80.0,전기 관련 안전 점검도 꼼꼼히 해주셔서 좋았습니다.
